Name,Product,Product Monitoring,Reboot Order,Replicate to PHL
CRIB-ATLWEB01,Cribis,Revenue Systems/Revenue Production/Cribis/WEB,43,Yes
CRIB-ATLWEB02,Cribis,Revenue Systems/Revenue Production/Cribis/WEB,40,Yes
CRIB-DC01,Cribis,Revenue Systems/Revenue Production/Infrastructure/atlcrif.com,42,Yes
CRIB-DC02,Cribis,Revenue Systems/Revenue Production/Infrastructure/atlcrif.com,11,Yes
CRIB-SQL,Cribis,Revenue Systems/Revenue Production/Cribis/SQL,11,Yes
CRIFREMOTE,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
CRIFVC,,,,
CRIFvMA,,Management/Server/Ghosts,,
CTCUAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CTCUAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CTCUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CTFCUAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CTFCUSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
CUACAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CUACAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CUACAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
cuacarchive.MYAPPRO.COM,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
CUACSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CYPDC01,Cypress,Revenue Systems/Revenue Production/Infrastructure/cypresssoftware.dom,20,Yes
CYPDC02,Cypress,Revenue Systems/Revenue Production/Infrastructure/cypresssoftware.dom,42,Yes
DATAWAREHOUSE,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
DELAWAREAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DELAWAREAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
DELAWARESQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
DELAWARESQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
DESERTAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DESERTAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
DESERTAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DESERTAPP02T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
DESERTAPP03,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DESERTAPP04,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DESERTPRTSVR,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
DESERTSQLC,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
DESERTSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
DOCINSTALLSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
DUPREETEST,,,,
EMC SRS,EMC,Management/Storage/EMC,,
ENCOREAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ENCOREAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ENCOREAPP1T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
ENCORESQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
ENCORESQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
FARMBUREAUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
FARMBUREAUSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
FARMLCBAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
FARMLCBAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
